id,category,field,answer_type
669402b41dcb3d5a1ef9e951,Math,位相幾何、代数トポロジー,exactMatch
6696c3734c196f1af6a16fcb,Math,代数、数論,exactMatch
66b2c7c9795022550abb176b,Math,代数、位相幾何,exactMatch
66ba5510db07a3a9151be0d2,Math,解析、微分幾何,exactMatch
66c5c3eae30bdd4f1da62cfc,Math,幾何、代数トポロジー,exactMatch
66e89811ca68059533a83566,Math,解析、関数解析、最適輸送理論,exactMatch
66e8a23d15c60c2c32f2ba55,Math,解析、最適輸送理論,exactMatch
66e8a3ed3aa94517d4573b14,Math,代数、数論,exactMatch
66e8ae603aa94517d4573b32,Math,"線型代数, 行列解析",exactMatch
66e8b0a9e5eaa390aa9fdde5,Math,群論、組合せ論,exactMatch
66e8c151efbbc8b5a54da02b,Math,"代数的位相幾何, 代数幾何, ホモトピー論",exactMatch
66e8cfa03add731d7fce4352,Math,"解析, 関数解析, 数学解析",exactMatch
66e8d4d65699cf35c9a1527c,Math,解析,exactMatch
66e8e473f59e5564daf565b6,Math,表現論、群論、複素解析,exactMatch
66e8ea4cacb34dd5dbffa298,Math,集合論,multipleChoice
66e9173256ec303aa22ccd37,Math,確率・統計、解析,exactMatch
66e9249c953867e04c273db7,Math,幾何,exactMatch
66e939c176b5b4f3e8a369b8,Math,確率・統計、線形代数,exactMatch
66e9469b76b5b4f3e8a369d5,Math,数論、組合せ論,exactMatch
66e94bf0d61a79cca258c675,Math,確率論、グラフ理論,exactMatch
66e98ce28056cd9dd9b1d9f6,Math,位相幾何学,exactMatch
66e9a436876fbf9ff158c137,Math,代数、幾何,exactMatch
66e9d06a420b60a0ede79e8e,Math,トポロジー,exactMatch
66ea031360fbbf249dec70e1,Math,数論、代数幾何,exactMatch
66ea355dd1767539f1308fc3,Math,解析、代数,exactMatch
66ea3ba5444b8f31ef575799,Math,情報理論,exactMatch
66ea534258a0968d95583cd8,Math,確率論、解析学,exactMatch
66ea542e4509a12ed7db1d7b,Math,数論、組合せ論,exactMatch
66ea7d2cc321286a5288ef06,Math,代数,exactMatch
66ea857b6b8edd4f56302c06,Math,幾何,exactMatch
66ea99e17094e6aa0bc758e7,Math,離散数学,exactMatch
66eaa401c7a3252f0f3fe535,Math,解析学、線形代数、離散数学,multipleChoice
66eadaf22b7de7dec0a046bd,Math,順序集合、離散数学,multipleChoice
66eaf9bbb082c5e6a76a49b5,Math,代数幾何,exactMatch
66eb0883f3acd11c70662aff,Math,"線形代数, 行列解析, 組合せ数学",exactMatch
66eb105d5f6e64fbae56b0fe,Math,解析、線形代数,exactMatch
66eb1d84ca5fb5434978190f,Math,組合せ論、論理,exactMatch
66ebe6b6a708e0910828c0d6,Math,"解析, 離散数学",exactMatch
66ec11b230ba0debf40b1fec,Math,離散数学,multipleChoice
66ec5671713826aca26a9dba,Math,確率論、離散数学,exactMatch
66ec5e266f83e1764787e118,Math,"代数幾何, 組合せ論",exactMatch
66ec6ad7b64b08f801db4fde,Math,数論、代数,exactMatch
66ecb2eb54baa602e636a457,Math,離散数学、幾何,exactMatch
66ecd3c6e8b95a8f971fb485,Math,組合せ論、解析,exactMatch
66ecf59741de2844089fc54b,Math,解析、線形代数、最適化,multipleChoice
66ed2fb252c07b4611580699,Math,解析,exactMatch
66ed3e7cd841eb51a985ca7f,Math,"解析, 代数",exactMatch
66ed58561d24f687ee9b06bb,Math,"幾何, 解析",multipleChoice
66ed5e6a1d24f687ee9b06d1,Math,"幾何, 数列",exactMatch
66ed80da7c4ab15ec9270e94,Math,グラフ理論,exactMatch
66ed96aec2becb9452e4d7b1,Math,離散数学、組合せ論,exactMatch
66edb74f98f720a96783bd0e,Math,離散数学,exactMatch
66edc256d0ce7f9082f8d744,Math,数値解析、情報理論,exactMatch
66ede973564cb32b38cc8a4a,Math,組合せ論、数論,exactMatch
66ee01a4126fac9cef29cb8b,Math,グラフ理論,exactMatch
66ee3918d7b2b78925bd20b6,Math,グラフ理論,exactMatch
66ee7549084dcacdcaac6437,Math,代数幾何,exactMatch
66eea9e29a4d46950f16c7f2,Math,解析,exactMatch
67c7ea98b89aea98883703ed,Math,解析、集合,exactMatch
66eed40a01d60ceefc5e586c,Math,代数,exactMatch
66eee253ae4c04f9d17d9420,Math,数論、代数,exactMatch
66eee811093c534ea2673f87,Math,解析,exactMatch
66eef273278112bed8e1d96b,Math,情報理論、組合せ論,exactMatch
66ef20a50312bf74c8ff43a0,Math,確率論,exactMatch
66ef2b318829dedb61d5627e,Math,ゲーム理論,exactMatch
66ef37d1e2195ad810081d37,Math,ゲーム理論,exactMatch
66ef5e39a57b7ef1047d2f58,Math,幾何、解析,exactMatch
66ef663370b6c01c3d20a5d5,Math,統計,exactMatch
66ef7b798ec4c5bfcdb205fc,Math,幾何,exactMatch
66ef98088171e6ed71be1454,Math,確率、解析,exactMatch
66efbf654a006318b6b4e256,Math,幾何、解析,exactMatch
66efc68bd7d1b7b37f6e1681,Math,"幾何, 解析",exactMatch
66efd054c04acd134cc4bb36,Math,解析、幾何,exactMatch
66f02cc56ea864e80ba2d3d7,Math,幾何,exactMatch
66f02e237e0e9c9b46db0db3,Math,離散数学、解析,exactMatch
66f05a0644e8181fd0e3f69b,Math,トポロジー,exactMatch
66f095153f4896d6fb81ca59,Math,位相数学、順序集合論,exactMatch
66f0ed63707a9da209d68e4f,Math,表現論、組合せ論、群論,exactMatch
66f162bd5542aa4ebe64481e,Math,組合せ論、離散数学,exactMatch
66f19a7b768aced3a5e2ba8a,Math,数論、基数変換,exactMatch
66f1a1fdccdf3d48cee44b17,Math,幾何,exactMatch
66f1b940f8bb4425f74e4299,Math,トポロジー,exactMatch
66f1bc99f8bb4425f74e42a5,Math,離散数学、解析,exactMatch
66f1d0828fa08a4717238167,Math,位相数学、グラフ理論,exactMatch
66f1d9a589b78acd31812b99,Math,代数,exactMatch
66f1db990130ee934e5b9810,Math,数論,exactMatch
66f1e0138e382acde4df9a95,Math,幾何,exactMatch
66f1eeb2f673b42e5c4616e7,Math,幾何、位相,exactMatch
66f20ebbe54b6b68fc3062d3,Math,解析、位相,exactMatch
66f25c95da5074d064015c54,Math,位相、代数,exactMatch
66f2e2405f45c4f4f424e9a9,Math,位相,exactMatch
66f2e58b5f45c4f4f424e9ae,Math,位相,exactMatch
66f2e9b4d18ac34db32642b7,Math,トポロジー,exactMatch
66f319f205629941be821347,Math,離散数学、グラフ理論,exactMatch
66f330fc96e593d9e020e95a,Math,代数幾何,exactMatch
66f358d4cdd3ce36208e23ca,Math,"シンプレクティック幾何, 代数幾何",exactMatch
66f3ee4cd1c77d20ca3338c1,Math,代数、ホモロジー代数,exactMatch
66f3ef9802a20e79fb9bfb2e,Math,群論、幾何,exactMatch
66f3f37374771c74247b6892,Math,ゲーム理論,multipleChoice
66f3fa084a937a16c867c042,Math,幾何、組合せ論,exactMatch
66f407a066abc59ffb9a82ae,Math,位相数学、代数,exactMatch
66f454d18ab578bcbb18387c,Math,幾何,exactMatch
66f472d2e4b80835fd2a01bb,Math,組合せ論、幾何,exactMatch
66f4a7ba439f15c2c0752479,Math,表現論、代数,exactMatch
66f52a03c518a8eba1cf963e,Math,トポロジー,exactMatch
66f531b3383872bf2182c10a,Math,代数,exactMatch
66f566bb9f9308128679f63e,Math,代数,exactMatch
66f579027a2ac7b4fffe1740,Math,組合せ論、数列と級数,exactMatch
66f57e187a2ac7b4fffe174e,Math,幾何、確率,exactMatch
66f589b926268030174717bd,Math,"解析, 幾何",exactMatch
66f5c96b4ae309d465eeca47,Math,組合せ論、グラフ理論,exactMatch
66f5e796acadd55c11fb11f5,Math,解析学、群論,exactMatch
66f5fa6547b598f037ec67fd,Math,解析学,exactMatch
66f5fd3235147083021a66c6,Math,解析学,exactMatch
66f63324376699e7c6894239,Math,解析学、離散数学,exactMatch
66f647ec6b41277283a0813c,Math,組合せ論、幾何,exactMatch
66f684db71131a41ff244fb9,Math,線形代数、複素解析,exactMatch
66f6a78cf5f84fe0d6bbcb84,Math,幾何,exactMatch
66f6b73a1b586571e550784f,Math,"幾何, 解析",exactMatch
66f6bffd76e8f5503a11d413,Math,組合せ論、集合論,exactMatch
66f6c390489d30372dbc1816,Math,解析,exactMatch
66f6f048b40ada5ac3b91cf8,Math,組合せ論、代数,exactMatch
66f6f494e56a5e5bc0b5a7af,Math,群論,exactMatch
66f708eec8903a7f2c03edbe,Math,論理数学、代数,exactMatch
66f7218240bd9498c95bfdf3,Math,代数トポロジー,exactMatch
66f7292f3f4622b6ce24b961,Math,解析、集合,exactMatch
66f7c1bff433ef9260df6e77,Math,情報理論,exactMatch
66f7fa54fa61639b844aa420,Math,代数,exactMatch
66f883265b247a255a42fba1,Math,"解析, フラクタル幾何",exactMatch
66f8bd4e140fefe7ceb34b75,Math,"モデル理論, 集合論",exactMatch
66f8e3db469c315e2c9ed2ff,Math,解析,exactMatch
66f9912f9912b9571e291d0a,Math,幾何,exactMatch
66f9a1ed4f798b651f6d3c8e,Math,確率論、統計物理学,exactMatch
