table,column,dtype,example
evaluation,dataset,object,None
evaluation,model,object,Qwen3-235B
evaluation,dataset_source,object,None
evaluation,n,object,None
evaluation,hle_overall,float64,10.25
evaluation,math,float64,15.91
evaluation,physics,float64,2.38
evaluation,bio_med,float64,8.0
evaluation,human_social,float64,11.11
evaluation,comp_ai,float64,8.0
evaluation,engineer,float64,21.43
evaluation,chemistry,float64,0.0
evaluation,other,float64,0.0
evaluation,metrics_accuracy,object,10.25% +/- 2.84%
evaluation,metrics_caliblation,float64,61.0
evaluation,回答数_500問,object,439問
evaluation,絶対数は_参考値,float64,
evaluation,math_n_226,float64,36.0
evaluation,physics_n_47,float64,1.1
evaluation,bio_med_n_51,float64,4.1
evaluation,human_social_n_45,float64,5.0
evaluation,comp_ai_n_52,float64,4.2
evaluation,engineer_n_15,float64,3.2
evaluation,chemistry_n_23,float64,0.0
evaluation,other_n_41,float64,0.0
evaluation,hle推論結果のパス,object,https://drive.google.com/drive/folders/1uGrxj0PuiyWC_lZsBMR_ZV4A7jzEEsdP?usp=drive_link
evaluation,hle評価結果のパス,object,https://drive.google.com/drive/folders/1XrIQSS0Je6loDZTzC-VY2rdEJOz7HvM2?usp=drive_link
evaluation,dna,float64,
evaluation,eval_dir_name,object,2025_08_20_19_50_54
evaluation,評価時モデルパス,object,/home/Competition2025/P12/shareP12/models/Qwen3-235B-A22B
evaluation,備考,object,checkpoints_380871
evaluation,unnamed_31,object,lossがはじめから低くておかしい
evaluation,experiment_id,object,eval_dbdfb790da
evaluation,weighted_score,float64,
training,wandb_project_name,object,llm_2025_multi_sft_qwen3_235b
training,wandb_run_name,object,llm_2025_multi_sft_qwen3_235b
training,model,object,Qwen/Qwen3-235B-A22B
training,dataset,object,https://huggingface.co/datasets/suzakuteam/MixtureOfThoughts_44000
training,n,int64,40000
training,epochs,int64,2
training,train_batch_size,float64,96.0
training,save_freq,float64,206.0
training,test_freq,float64,103.0
training,lora_rank,float64,32.0
training,lora_alpha,float64,64.0
training,target_module,object,"[o_proj,v_proj,k_proj,q_proj]"
training,勾配蓄積数_train_batch_size_24,float64,4.0
training,トータルステップ数_data数_train_batch_size_epoch,float64,833.0
training,保存回数_ステップ数_save_frep,float64,4.0
training,評価回数_ステップ数_test_frep,float64,8.0
training,train_loss,float64,0.483
training,valid_loss,float64,0.445
training,1stepあたりの時間_s_step,float64,46.85
training,全ての時間_s,object,9時間14分26秒
training,備考,object,/nvmeを使えていない
training,experiment_id,object,train_ece67c9d96
